id;nome;descricao;data_limite;hora_limite;situacao_tarefa;observacoes
1;Savings architectures Madeira;frictionless PNG Marginal;2021-04-08;Enhanced Optional;PENDENTE;vortals
2;Macio;Integration;2021-04-08;Maranhão;REALIZADA;roxo engineer Direct
3;Re-engineered grená Manat;real-time throughput Prático;2021-04-08;up markets Mobility;AGUARDANDO;Jardim upward-trending
4;Algodão generate;Aço Buckinghamshire Dobra;2021-04-08;Benin CSS;REALIZADA;Manager ferrugem
5;approach Paradigm;e-tailers e feed;2021-04-08;morph wireless Rodovia;PENDENTE;Account Rua synergy
6;navigate Account program;holistic sensor Web;2021-04-08;leading-edge interactive;PENDENTE;payment incubate
7;Infrastructure platforms;Metal AGP;2021-04-08;Impressionante;REALIZADA;Lindo Rodovia
8;Espírito Impressionante Espírito;initiatives Portugal;2021-04-08;demand-driven revolutionary Calças;AGUARDANDO;strategic open-source
9;system marca Peixe;Data Lead marca;2021-04-08;Supervisor Ceará motivating;PENDENTE;Technician
10;Cambridgeshire;synthesizing Metrics;2021-04-08;e-business esmeralda;AGUARDANDO;Dynamic calculate
